Store;DSM;Div;Mall;Address;City;State;Zip;Country;Phone
1106;4219;Claires;THE MALL OF NEW HAMPSHIRE;1500 S. WILLOW ST  SPC # W151;MANCHESTER;NH;03103;USA;603 622 2662
1108;5005;Icing;SOUTHLAKE;2192 SOUTHLAKE MALL;MERRILLVILLE;IN;46410;USA;219 736 0503
1111;4213;Claires;CHAMPLAIN CENTRES;60 SMITHFIELD BLVD.;PLATTSBURG;NY;12901;USA;518 563 2216
1122;5004;Icing;WOODFIELD MALL;5 WOODFIELD MALL SPC D204;SCHAUMBURG;IL;60173;USA;847 330 1066
1126;6201;Claires;OAK COURT MALL;4465 POPLAR AVE., SUITE 248;MEMPHIS;TN;38117;USA;901 683 3270
1132;7209;Claires;CHERRY CREEK S.C.;3000 EAST FIRST AVE. #100;DENVER;CO;80206;USA;303 333 6277
1135;4110;Claires;LAUREL PARK;37600 W SIX MILE RD  SPC. E412;LIVONIA;MI;48152;USA;734 432 0601
1138;6011;Claires;SCOTTSDALE FASHION SQUARE;E 7014 CAMELBACK RD;SCOTTSDALE;AZ;85251;USA;480 946 2490
1808;4123;Claires;THE JOHNSTOWN GALLERIA;500 GALLERIA DRIVE SPACE #248;JOHNSTOWN;PA;15904;USA;814 269 4900
1814;5304;Claires;TREASURE COAST SQUARE;3212 N.W. FEDERAL HIGHWAY;JENSEN BEACH;FL;34957;USA;772 692 1139
1819;5208;Claires;MALL AT GREEN HILLS;2126 ABBOTT MARTIN RD SP173;NASHVILLE;TN;37215;USA;615 383 6589
1824;5310;Claires;COLONIAL-BROOKWOOD;716 BROOKWOOD VILLAGE #206;HOMEWOOD;AL;35209;USA;205 871 0753
1825;6210;Claires;PENN SQUARE MALL;1901 NW EXPRESSWAY SUITE#1085;OKLAHOMA CITY;OK;73118;USA;405 840 7764
1827;7212;Claires;COLUMBIA- KENNEWICK;1321 N COLUMBIA CENTER #527;KENNEWICK;WA;99336;USA;509 736 0867
1873;6007;Claires;INLAND CENTER MALL;500 INLAND CENTER DRIVE #214;SAN BERNARDINO;CA;92408;USA;909 889 4081
1886;6214;Claires;MID RIVERS MALL;2012 MID RIVERS MALL  #1308;ST. PETERS;MO;63376;USA;636 279 2620
1888;7103;Claires;PIONEER PLACE;700 SW 5TH AVE.    SPC #1065;PORTLAND;OR;97204;USA;503 223 1287
1908;7102;Claires;THE COMMONS @ FEDERAL WAY;2011 S. COMMONS;FEDERAL WAY;WA;98003;USA;253 946 2753
1919;5206;Claires;HANES MALL;3320 SILAS CREEK PKWY- #8804;WINSTON-SALEM;NC;27103;USA;336 768 8893
1929;4125;Claires;MILLCREEK MALL;510 MILLCREEK MALL;ERIE;PA;16565;USA;814 864 1611
1931;7111;Claires;THE MALL AT NORTHGATE;5800 NORTHGATE DRIVE SUITE 41;SAN RAFAEL;CA;94903;USA;415 472 2714
1943;6007;Claires;ANTELOPE VALLEY MALL;1233 W. AVENUE P, SPC #123;PALMDALE;CA;93551;USA;661 947 5309
1954;5005;Claires;WATER TOWER PLACE;835 N. MICHIGAN AVE. #5015;CHICAGO;IL;60611;USA;312 787 3151
1957;5308;Claires;MELBOURNE SQUARE;1700 W. NEW HAVEN AVE.;MELBOURNE;FL;32904;USA;321 676 3888
1965;6210;Claires;CENTRAL MALL-LAWTON;#130 CENTRAL MALL;LAWTON;OK;73501;USA;580 248 3599
